STARTDATE,ENDDATE,MEAN,STD,VALUE,lastYear
2021-02-14,2021-03-29,81.39270153306626,72.39216788737612,63.469636928983,Normal
2021-02-21,2021-04-05,85.39625400016068,77.00136968172063,63.73019264231085,Normal
2021-02-28,2021-04-12,92.46614218818924,85.46013814120145,61.69685698363376,Normal
2021-03-07,2021-04-19,102.27634415885069,93.6837613756527,60.55806880760244,Normal
2021-03-14,2021-04-26,120.55547343671135,101.10635377799815,82.06532789631744,Normal
2021-03-21,2021-05-03,132.22830602604634,102.6879641181272,130.22507394744466,Normal
2021-03-28,2021-05-10,144.98347264323408,108.48420766700268,170.96820096770247,Normal
2021-04-04,2021-05-17,153.79280251028302,111.25915613377784,211.103275363479,Normal
2021-04-11,2021-05-24,165.07041288769096,116.04205577790991,254.85667131832886,Normal
2021-04-18,2021-05-31,172.99901410875304,116.99156905535084,298.8545534274135,Anomaly
2021-04-25,2021-06-07,182.11811036196374,121.71057017462189,344.0982149464649,Anomaly
2021-05-02,2021-06-14,194.86368277239166,131.60469711785512,389.2103611783693,Anomaly
2021-05-09,2021-06-21,205.81308439585067,139.03986226417672,422.4624757150324,Anomaly
2021-05-16,2021-06-28,219.16266393439838,148.72030932480757,441.61287313005835,Anomaly
2021-05-23,2021-07-05,227.2348675913821,154.96140070915393,461.26934639269035,Anomaly
2021-05-30,2021-07-12,267.1833333333333,179.0084579144158,481.17350708192515,Anomaly
