DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM,STATENAME,MANDINAME
2018-03-01,0.0034172991309954,7.0,4.0,4.0,15.0,20,20,20,60,75.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-03-01,0.0,0.0,1.0,0.0,1.0,18,14,20,52,53.0,WEST BENGAL,DURGAPUR
2018-03-01,0.0048824019814143,3.0,4.0,4.0,11.0,5,5,20,30,41.0,WEST BENGAL,KASIPUR
2018-03-01,0.0079146385059686,1.0,0.0,2.0,3.0,0,0,20,20,23.0,WEST BENGAL,KATWA
2018-03-01,0.0068392674355538,0.0,1.0,0.0,1.0,0,0,20,20,21.0,UTTAR PRADESH,PRATAPGARH
2018-04-01,0.1099171611633437,8.0,5.0,5.0,18.0,19,19,19,57,75.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-04-01,0.0,0.0,1.0,0.0,1.0,19,18,19,56,57.0,WEST BENGAL,DURGAPUR
2018-04-01,0.005275916497377,2.0,3.0,3.0,8.0,5,5,19,29,37.0,WEST BENGAL,KASIPUR
2018-04-01,0.0053296468064194,1.0,0.0,2.0,3.0,0,0,19,19,22.0,WEST BENGAL,KATWA
2018-04-01,0.0082183762661587,0.0,2.0,0.0,2.0,0,0,19,19,21.0,UTTAR PRADESH,PRATAPGARH
2018-05-01,0.0051217550566888,7.0,4.0,4.0,15.0,20,20,20,60,75.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-05-01,0.0166067000853381,1.0,1.0,0.0,2.0,20,20,20,60,62.0,WEST BENGAL,DURGAPUR
2018-05-01,0.004328943669198,2.0,2.0,2.0,6.0,5,5,20,30,36.0,WEST BENGAL,KASIPUR
2018-05-01,0.0012627224295093,1.0,0.0,1.0,2.0,0,0,20,20,22.0,WEST BENGAL,KATWA
2018-05-01,0.0043769444916252,0.0,2.0,0.0,2.0,0,0,15,15,17.0,UTTAR PRADESH,PRATAPGARH
2018-06-01,0.1228060183515602,8.0,5.0,5.0,18.0,20,20,20,60,78.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-06-01,0.0063793890620201,1.0,1.0,0.0,2.0,20,20,20,60,62.0,WEST BENGAL,DURGAPUR
2018-06-01,0.0029499664244161,2.0,2.0,2.0,6.0,5,5,19,29,35.0,WEST BENGAL,KASIPUR
2018-06-01,0.0033714889139994,1.0,0.0,1.0,2.0,0,0,20,20,22.0,WEST BENGAL,KATWA
2018-06-01,0.0104100841367588,0.0,2.0,0.0,2.0,0,0,11,11,13.0,UTTAR PRADESH,PRATAPGARH
2018-07-01,0.1717016313192587,8.0,6.0,6.0,20.0,19,19,19,57,77.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-07-01,0.0075154478208436,1.0,1.0,0.0,2.0,15,15,16,46,48.0,WEST BENGAL,DURGAPUR
2018-07-01,0.0747882999299587,2.0,2.0,3.0,7.0,2,2,14,18,25.0,WEST BENGAL,KASIPUR
2018-07-01,0.0030567007990545,1.0,0.0,1.0,2.0,0,0,17,17,19.0,WEST BENGAL,KATWA
2018-07-01,0.0058321146272115,0.0,2.0,0.0,2.0,0,0,6,6,8.0,UTTAR PRADESH,PRATAPGARH
2018-08-01,0.0063189416559745,8.0,5.0,5.0,18.0,20,20,20,60,78.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-08-01,0.0014935337967676,1.0,0.0,0.0,1.0,11,11,12,34,35.0,WEST BENGAL,DURGAPUR
2018-08-01,0.001989016119614,2.0,1.0,3.0,6.0,0,0,10,10,16.0,WEST BENGAL,KASIPUR
2018-08-01,0.0056178753321479,1.0,0.0,1.0,2.0,0,0,13,13,15.0,WEST BENGAL,KATWA
2018-08-01,0.0052655059376821,0.0,1.0,0.0,1.0,0,0,6,6,7.0,UTTAR PRADESH,PRATAPGARH
2018-09-01,0.010348128809037,8.0,6.0,4.0,18.0,18,18,18,54,72.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-09-01,0.0028633614184329,1.0,0.0,0.0,1.0,7,7,8,22,23.0,WEST BENGAL,DURGAPUR
2018-09-01,0.0019682339588676,2.0,1.0,3.0,6.0,0,0,6,6,12.0,WEST BENGAL,KASIPUR
2018-09-01,0.0026162479682405,1.0,0.0,1.0,2.0,0,0,9,9,11.0,WEST BENGAL,KATWA
2018-09-01,0.0013842595977477,0.0,1.0,0.0,1.0,0,0,8,8,9.0,UTTAR PRADESH,PRATAPGARH
2018-10-01,0.1086082368468808,8.0,6.0,4.0,18.0,14,13,13,40,58.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-10-01,0.0011683334924022,0.0,1.0,0.0,1.0,0,0,10,10,11.0,UTTAR PRADESH,PRATAPGARH
2018-10-01,0.0014929260509305,1.0,0.0,0.0,1.0,2,2,3,7,8.0,WEST BENGAL,DURGAPUR
2018-10-01,0.0064512745732642,2.0,1.0,3.0,6.0,0,0,1,1,7.0,WEST BENGAL,KASIPUR
2018-10-01,0.001605649736175,1.0,0.0,0.0,1.0,0,0,4,4,5.0,WEST BENGAL,KATWA
2018-11-01,0.1217495992476207,8.0,7.0,5.0,20.0,14,10,10,34,54.0,UTTAR PRADESH,CHHIBRAMAU(KANNUJ)
2018-11-01,0.0011244631870714,0.0,1.0,0.0,1.0,0,0,10,10,11.0,UTTAR PRADESH,PRATAPGARH
2018-11-01,0.0044319881697516,2.0,1.0,3.0,6.0,0,0,0,0,6.0,WEST BENGAL,KASIPUR
